,Request,Sample,Batch,Parameter List,Parameter,Data,Batch # or Lot #,Recipe / Alternate / Version
95,R-20210412-00058,S-210412-01086,,Lumisizer - VM,Lumisizer Separation Location,Bottom,SG1710656,na
96,R-20210412-00058,S-210412-01086,,Lumisizer - VM,Lumisizer Onset of Major Separation,85,SG1710656,na
97,R-20210412-00058,S-210412-01086,,Lumisizer - VM,Lumisizer Separated Layers,3,SG1710656,na
98,R-20210412-00058,S-210412-01086,,Lumisizer - VM,Lumisizer Separation,Y,SG1710656,na
99,R-20210412-00058,S-210412-01086,,Lumisizer - VM,Lumisizer Separation Severity,7.65,SG1710656,na
100,R-20210415-00023,S-210415-00692,,Lumisizer - VM,Lumisizer Separation Severity,1.40,EXP-21-AX1837A,
101,R-20210415-00023,S-210415-00692,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1837A,
102,R-20210415-00023,S-210415-00692,,Lumisizer - VM,Lumisizer Onset of Major Separation,60,EXP-21-AX1837A,
103,R-20210415-00023,S-210415-00692,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1837A,
104,R-20210415-00023,S-210415-00692,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1837A,
105,R-20210415-00055,S-210415-01304,,Lumisizer - VM,Lumisizer Separated Layers,2,F210322-00060,na
106,R-20210415-00055,S-210415-01304,,Lumisizer - VM,Lumisizer Separation Severity,3.20,F210322-00060,na
107,R-20210415-00055,S-210415-01304,,Lumisizer - VM,Lumisizer Separation,Y,F210322-00060,na
108,R-20210415-00055,S-210415-01304,,Lumisizer - VM,Lumisizer Separation Location,Top,F210322-00060,na
109,R-20210415-00055,S-210415-01304,,Lumisizer - VM,Lumisizer Onset of Major Separation,75,F210322-00060,na
110,R-20210416-00031,S-210416-01061,,Lumisizer - VM,Lumisizer Onset of Major Separation,12,RC17109-076,
111,R-20210416-00031,S-210416-01061,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle,RC17109-076,
112,R-20210416-00031,S-210416-01061,,Lumisizer - VM,Lumisizer Separated Layers,3,RC17109-076,
113,R-20210416-00031,S-210416-01061,,Lumisizer - VM,Lumisizer Separation Severity,89.30,RC17109-076,
114,R-20210416-00031,S-210416-01061,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-076,
115,R-20210416-00033,S-210416-01119,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-078,
116,R-20210416-00033,S-210416-01119,,Lumisizer - VM,Lumisizer Onset of Major Separation,60,RC17109-078,
117,R-20210416-00033,S-210416-01119,,Lumisizer - VM,Lumisizer Separation Location,Top,RC17109-078,
118,R-20210416-00033,S-210416-01119,,Lumisizer - VM,Lumisizer Separated Layers,2,RC17109-078,
119,R-20210416-00033,S-210416-01119,,Lumisizer - VM,Lumisizer Separation Severity,1.90,RC17109-078,
120,R-20210416-00034,S-210416-01143,,Lumisizer - VM,Lumisizer Separated Layers,2,RC17109-079,
121,R-20210416-00034,S-210416-01143,,Lumisizer - VM,Lumisizer Separation Location,Top,RC17109-079,
122,R-20210416-00034,S-210416-01143,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-079,
123,R-20210416-00034,S-210416-01143,,Lumisizer - VM,Lumisizer Separation Severity,11.40,RC17109-079,
124,R-20210416-00034,S-210416-01143,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,RC17109-079,
125,R-20210423-00049,S-210423-00706,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1839F,
126,R-20210423-00049,S-210423-00706,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1839F,
127,R-20210423-00049,S-210423-00706,,Lumisizer - VM,Lumisizer Separation Severity,4.4%,EXP-21-AX1839F,
128,R-20210423-00049,S-210423-00706,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1839F,
129,R-20210423-00049,S-210423-00706,,Lumisizer - VM,Lumisizer Onset of Major Separation,40,EXP-21-AX1839F,
130,R-20210423-00050,S-210423-00711,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1839A,
131,R-20210423-00050,S-210423-00711,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1839A,
132,R-20210423-00050,S-210423-00711,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,EXP-21-AX1839A,
133,R-20210423-00050,S-210423-00711,,Lumisizer - VM,Lumisizer Separation Severity,3.80,EXP-21-AX1839A,
134,R-20210423-00050,S-210423-00711,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1839A,
135,R-20210423-00051,S-210423-00716,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,EXP-21-AX1839B,
136,R-20210423-00051,S-210423-00716,,Lumisizer - VM,Lumisizer Separation Severity,3.70,EXP-21-AX1839B,
137,R-20210423-00051,S-210423-00716,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1839B,
138,R-20210423-00051,S-210423-00716,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1839B,
139,R-20210423-00051,S-210423-00716,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1839B,
140,R-20210423-00052,S-210423-00721,,Lumisizer - VM,Lumisizer Onset of Major Separation,33,EXP-21-AX1839C,
141,R-20210423-00052,S-210423-00721,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1839C,
142,R-20210423-00052,S-210423-00721,,Lumisizer - VM,Lumisizer Separation Severity,4.70,EXP-21-AX1839C,
143,R-20210423-00052,S-210423-00721,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1839C,
144,R-20210423-00052,S-210423-00721,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1839C,
145,R-20210423-00053,S-210423-00726,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1839D,
146,R-20210423-00053,S-210423-00726,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1839D,
147,R-20210423-00053,S-210423-00726,,Lumisizer - VM,Lumisizer Separation Severity,4.20,EXP-21-AX1839D,
148,R-20210423-00053,S-210423-00726,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1839D,
149,R-20210423-00053,S-210423-00726,,Lumisizer - VM,Lumisizer Onset of Major Separation,23,EXP-21-AX1839D,
150,R-20210423-00054,S-210423-00731,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1839E,
151,R-20210423-00054,S-210423-00731,,Lumisizer - VM,Lumisizer Onset of Major Separation,30,EXP-21-AX1839E,
152,R-20210423-00054,S-210423-00731,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1839E,
153,R-20210423-00054,S-210423-00731,,Lumisizer - VM,Lumisizer Separation Severity,4.00,EXP-21-AX1839E,
154,R-20210423-00054,S-210423-00731,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1839E,
155,R-20210426-00033,S-210426-00462,,Lumisizer - VM,Lumisizer Onset of Major Separation,80,F-210323-00027,na
156,R-20210426-00033,S-210426-00462,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,F-210323-00027,na
157,R-20210426-00033,S-210426-00462,,Lumisizer - VM,Lumisizer Separated Layers,3,F-210323-00027,na
158,R-20210426-00033,S-210426-00462,,Lumisizer - VM,Lumisizer Separation,Y,F-210323-00027,na
159,R-20210426-00033,S-210426-00462,,Lumisizer - VM,Lumisizer Separation Severity,9.60,F-210323-00027,na
160,R-20210426-00036,S-210426-00511,,Lumisizer - VM,Lumisizer Separation,N,EXP-21-AU9085,na
161,R-20210426-00036,S-210426-00511,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EXP-21-AU9085,na
162,R-20210426-00036,S-210426-00511,,Lumisizer - VM,Lumisizer Separation Severity,,EXP-21-AU9085,na
163,R-20210426-00036,S-210426-00511,,Lumisizer - VM,Lumisizer Separated Layers,1,EXP-21-AU9085,na
164,R-20210426-00036,S-210426-00511,,Lumisizer - VM,Lumisizer Separation Location,,EXP-21-AU9085,na
165,R-20210427-00043,S-210427-01049,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AX1842,
166,R-20210427-00043,S-210427-01049,,Lumisizer - VM,Lumisizer Separation Severity,1.90,EXP-21-AX1842,
167,R-20210427-00043,S-210427-01049,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,EXP-21-AX1842,
168,R-20210427-00043,S-210427-01049,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AX1842,
169,R-20210427-00043,S-210427-01049,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1842,
170,R-20210428-00039,S-210503-00457,,Lumisizer - VM,Lumisizer Separated Layers,1,MV-15990-136,MV-15990-136/SV 2
171,R-20210428-00039,S-210503-00457,,Lumisizer - VM,Lumisizer Separation Location,,MV-15990-136,MV-15990-136/SV 2
172,R-20210428-00039,S-210503-00457,,Lumisizer - VM,Lumisizer Separation Severity,,MV-15990-136,MV-15990-136/SV 2
173,R-20210428-00039,S-210503-00457,,Lumisizer - VM,Lumisizer Onset of Major Separation,,MV-15990-136,MV-15990-136/SV 2
174,R-20210428-00039,S-210503-00457,,Lumisizer - VM,Lumisizer Separation,N,MV-15990-136,MV-15990-136/SV 2
175,R-20210428-00054,S-210428-01762,,Lumisizer - VM,Lumisizer Separation Location,Top,F-210421-00041,200000255297/000/000
176,R-20210428-00054,S-210428-01762,,Lumisizer - VM,Lumisizer Separated Layers,2,F-210421-00041,200000255297/000/000
177,R-20210428-00054,S-210428-01762,,Lumisizer - VM,Lumisizer Onset of Major Separation,125,F-210421-00041,200000255297/000/000
178,R-20210428-00054,S-210428-01762,,Lumisizer - VM,Lumisizer Separation Severity,1.90,F-210421-00041,200000255297/000/000
179,R-20210428-00054,S-210428-01762,,Lumisizer - VM,Lumisizer Separation,Y,F-210421-00041,200000255297/000/000
180,R-20210503-00019,S-210503-00325,,Lumisizer - VM,Lumisizer Separation Severity,9.80,SG1710664,na
181,R-20210503-00019,S-210503-00325,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,SG1710664,na
182,R-20210503-00019,S-210503-00325,,Lumisizer - VM,Lumisizer Onset of Major Separation,80,SG1710664,na
183,R-20210503-00019,S-210503-00325,,Lumisizer - VM,Lumisizer Separated Layers,3,SG1710664,na
184,R-20210503-00019,S-210503-00325,,Lumisizer - VM,Lumisizer Separation,Y,SG1710664,na
185,R-20210503-00020,S-210503-00371,,Lumisizer - VM,Lumisizer Separated Layers,3,SG1710663,na
186,R-20210503-00020,S-210503-00371,,Lumisizer - VM,Lumisizer Separation,Y,SG1710663,na
187,R-20210503-00020,S-210503-00371,,Lumisizer - VM,Lumisizer Separation Severity,10.50,SG1710663,na
188,R-20210503-00020,S-210503-00371,,Lumisizer - VM,Lumisizer Onset of Major Separation,80,SG1710663,na
189,R-20210503-00020,S-210503-00371,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,SG1710663,na
190,R-20210503-00021,S-210503-00417,,Lumisizer - VM,Lumisizer Separation Severity,,SG1710662,na
191,R-20210503-00021,S-210503-00417,,Lumisizer - VM,Lumisizer Separation,N,SG1710662,na
192,R-20210503-00021,S-210503-00417,,Lumisizer - VM,Lumisizer Onset of Major Separation,,SG1710662,na
193,R-20210503-00021,S-210503-00417,,Lumisizer - VM,Lumisizer Separation Location,,SG1710662,na
194,R-20210503-00021,S-210503-00417,,Lumisizer - VM,Lumisizer Separated Layers,1,SG1710662,na
195,R-20210505-00026,S-210505-00490,,Lumisizer - VM,Lumisizer Separation,N,EXP-21-BI0119B,200000231907/003/000
196,R-20210505-00026,S-210505-00490,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EXP-21-BI0119B,200000231907/003/000
197,R-20210505-00026,S-210505-00490,,Lumisizer - VM,Lumisizer Separation Location,,EXP-21-BI0119B,200000231907/003/000
198,R-20210505-00026,S-210505-00490,,Lumisizer - VM,Lumisizer Separation Severity,,EXP-21-BI0119B,200000231907/003/000
199,R-20210505-00026,S-210505-00490,,Lumisizer - VM,Lumisizer Separated Layers,,EXP-21-BI0119B,200000231907/003/000
200,R-20210506-00038,S-210506-00920,,Lumisizer - VM,Lumisizer Separation,Y,SG1710665,
201,R-20210506-00038,S-210506-00920,,Lumisizer - VM,Lumisizer Separation Severity,9.70,SG1710665,
202,R-20210506-00038,S-210506-00920,,Lumisizer - VM,Lumisizer Onset of Major Separation,70,SG1710665,
203,R-20210506-00038,S-210506-00920,,Lumisizer - VM,Lumisizer Separated Layers,3,SG1710665,
204,R-20210506-00038,S-210506-00920,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,SG1710665,
205,R-20210506-00039,S-210506-00966,,Lumisizer - VM,Lumisizer Separated Layers,3,SG1710666,na
206,R-20210506-00039,S-210506-00966,,Lumisizer - VM,Lumisizer Separation,Y,SG1710666,na
207,R-20210506-00039,S-210506-00966,,Lumisizer - VM,Lumisizer Onset of Major Separation,70,SG1710666,na
208,R-20210506-00039,S-210506-00966,,Lumisizer - VM,Lumisizer Separation Severity,11.10,SG1710666,na
209,R-20210506-00039,S-210506-00966,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,SG1710666,na
210,R-20210506-00040,S-210506-01012,,Lumisizer - VM,Lumisizer Separation Location,,EXP-21-AU9093,na
211,R-20210506-00040,S-210506-01012,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EXP-21-AU9093,na
212,R-20210506-00040,S-210506-01012,,Lumisizer - VM,Lumisizer Separated Layers,,EXP-21-AU9093,na
213,R-20210506-00040,S-210506-01012,,Lumisizer - VM,Lumisizer Separation,N,EXP-21-AU9093,na
214,R-20210506-00040,S-210506-01012,,Lumisizer - VM,Lumisizer Separation Severity,,EXP-21-AU9093,na
215,R-20210507-00030,S-210507-00535,,Lumisizer - VM,Lumisizer Onset of Major Separation,80,SG1710667,na
216,R-20210507-00030,S-210507-00535,,Lumisizer - VM,Lumisizer Separated Layers,3,SG1710667,na
217,R-20210507-00030,S-210507-00535,,Lumisizer - VM,Lumisizer Separation,Y,SG1710667,na
218,R-20210507-00030,S-210507-00535,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom,SG1710667,na
219,R-20210507-00030,S-210507-00535,,Lumisizer - VM,Lumisizer Separation Severity,21.00,SG1710667,na
220,R-20210507-00041,S-210507-00828,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AY9487,
221,R-20210507-00041,S-210507-00828,,Lumisizer - VM,Lumisizer Onset of Major Separation,50,EXP-21-AY9487,
222,R-20210507-00041,S-210507-00828,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-AY9487,
223,R-20210507-00041,S-210507-00828,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-AY9487,
224,R-20210507-00041,S-210507-00828,,Lumisizer - VM,Lumisizer Separation Severity,1.60,EXP-21-AY9487,
