,Request,Sample,Batch,Parameter List,Parameter,Data,Batch # or Lot #,Recipe / Alternate / Version
492,R-20210630-00075,S-210630-00508,,Lumisizer - VM,Lumisizer Separation,N,EK15997-96,
493,R-20210630-00075,S-210630-00508,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EK15997-96,
494,R-20210630-00075,S-210630-00508,,Lumisizer - VM,Lumisizer Separation Severity,,EK15997-96,
495,R-20210630-00076,S-210630-00540,,Lumisizer - VM,Lumisizer Separation Severity,,EK15997-98,
496,R-20210630-00076,S-210630-00540,,Lumisizer - VM,Lumisizer Separation,N,EK15997-98,
497,R-20210630-00076,S-210630-00540,,Lumisizer - VM,Lumisizer Separation Location,,EK15997-98,
498,R-20210630-00076,S-210630-00540,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EK15997-98,
499,R-20210630-00076,S-210630-00540,,Lumisizer - VM,Lumisizer Separated Layers,1,EK15997-98,
500,R-20210701-00021,S-210701-00643,,Lumisizer - VM,Lumisizer Separated Layers,4,MV-15990-152,
501,R-20210701-00021,S-210701-00643,,Lumisizer - VM,Lumisizer Separation,Y,MV-15990-152,
502,R-20210701-00021,S-210701-00643,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,MV-15990-152,
503,R-20210701-00021,S-210701-00643,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom,MV-15990-152,
504,R-20210701-00021,S-210701-00643,,Lumisizer - VM,Lumisizer Separation Severity,9.1 - 40.9,MV-15990-152,
505,R-20210701-00032,S-210701-01557,,Lumisizer - VM,Lumisizer Separation Location,,EXP-21-BH7530,
506,R-20210701-00032,S-210701-01557,,Lumisizer - VM,Lumisizer Separation,N,EXP-21-BH7530,
507,R-20210701-00032,S-210701-01557,,Lumisizer - VM,Lumisizer Separated Layers,1,EXP-21-BH7530,
508,R-20210701-00032,S-210701-01557,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EXP-21-BH7530,
509,R-20210701-00032,S-210701-01557,,Lumisizer - VM,Lumisizer Separation Severity,,EXP-21-BH7530,
510,R-20210707-00040,S-210707-00341,,Lumisizer - VM,Lumisizer Separated Layers,3,EXP-21-AX1856,TBD
511,R-20210707-00040,S-210707-00341,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1856,TBD
512,R-20210707-00040,S-210707-00341,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom,EXP-21-AX1856,TBD
513,R-20210707-00040,S-210707-00341,,Lumisizer - VM,Lumisizer Onset of Major Separation,5,EXP-21-AX1856,TBD
514,R-20210707-00040,S-210707-00341,,Lumisizer - VM,Lumisizer Separation Severity,25.00,EXP-21-AX1856,TBD
515,R-20210707-00042,S-210707-00404,,Lumisizer - VM,Lumisizer Separated Layers,1,MV-15990-154,
516,R-20210707-00042,S-210707-00404,,Lumisizer - VM,Lumisizer Separation Severity,,MV-15990-154,
517,R-20210707-00042,S-210707-00404,,Lumisizer - VM,Lumisizer Separation Location,,MV-15990-154,
518,R-20210707-00042,S-210707-00404,,Lumisizer - VM,Lumisizer Separation,N,MV-15990-154,
519,R-20210707-00042,S-210707-00404,,Lumisizer - VM,Lumisizer Onset of Major Separation,,MV-15990-154,
520,R-20210707-00052,S-210707-00498,,Lumisizer - VM,Lumisizer Separated Layers,4,EXP-21-BJ5600,
521,R-20210707-00052,S-210707-00498,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BJ5600,
522,R-20210707-00052,S-210707-00498,,Lumisizer - VM,Lumisizer Separation Severity,1.8 - 51.1,EXP-21-BJ5600,
523,R-20210707-00052,S-210707-00498,,Lumisizer - VM,Lumisizer Onset of Major Separation,70 - 180,EXP-21-BJ5600,
524,R-20210707-00052,S-210707-00498,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom,EXP-21-BJ5600,
525,R-20210708-00042,S-210708-00496,,Lumisizer - VM,Lumisizer Separated Layers,3,EXP-21-AX1857,TBD
526,R-20210708-00042,S-210708-00496,,Lumisizer - VM,Lumisizer Onset of Major Separation,60 - 110,EXP-21-AX1857,TBD
527,R-20210708-00042,S-210708-00496,,Lumisizer - VM,Lumisizer Separation Severity,1.7  - 78.4,EXP-21-AX1857,TBD
528,R-20210708-00042,S-210708-00496,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom,EXP-21-AX1857,TBD
529,R-20210708-00042,S-210708-00496,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-AX1857,TBD
530,R-20210709-00049,S-210709-00906,,Lumisizer - VM,Lumisizer Onset of Major Separation,50,RC17109-096,
531,R-20210709-00049,S-210709-00906,,Lumisizer - VM,Lumisizer Separated Layers,2,RC17109-096,
532,R-20210709-00049,S-210709-00906,,Lumisizer - VM,Lumisizer Separation Location,Top,RC17109-096,
533,R-20210709-00049,S-210709-00906,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-096,
534,R-20210709-00049,S-210709-00906,,Lumisizer - VM,Lumisizer Separation Severity,12.50,RC17109-096,
535,R-20210709-00050,S-210709-00952,,Lumisizer - VM,Lumisizer Separation Severity,5.10,RC17109-099,
536,R-20210709-00050,S-210709-00952,,Lumisizer - VM,Lumisizer Onset of Major Separation,130,RC17109-099,
537,R-20210709-00050,S-210709-00952,,Lumisizer - VM,Lumisizer Separated Layers,2,RC17109-099,
538,R-20210709-00050,S-210709-00952,,Lumisizer - VM,Lumisizer Separation,Y,RC17109-099,
539,R-20210709-00050,S-210709-00952,,Lumisizer - VM,Lumisizer Separation Location,Top,RC17109-099,
540,R-20210713-00057,S-210713-01021,,Lumisizer - VM,Lumisizer Separation Location,,F210621-00042,200000256295/000/001
541,R-20210713-00057,S-210713-01021,,Lumisizer - VM,Lumisizer Separated Layers,1,F210621-00042,200000256295/000/001
542,R-20210713-00057,S-210713-01021,,Lumisizer - VM,Lumisizer Onset of Major Separation,,F210621-00042,200000256295/000/001
543,R-20210713-00057,S-210713-01021,,Lumisizer - VM,Lumisizer Separation Severity,,F210621-00042,200000256295/000/001
544,R-20210713-00057,S-210713-01021,,Lumisizer - VM,Lumisizer Separation,N,F210621-00042,200000256295/000/001
545,R-20210713-00058,S-210713-01067,,Lumisizer - VM,Lumisizer Separation Location,,F210621-00041,200000256448/000/001
546,R-20210713-00058,S-210713-01067,,Lumisizer - VM,Lumisizer Separated Layers,,F210621-00041,200000256448/000/001
547,R-20210713-00058,S-210713-01067,,Lumisizer - VM,Lumisizer Separation Severity,,F210621-00041,200000256448/000/001
548,R-20210713-00058,S-210713-01067,,Lumisizer - VM,Lumisizer Onset of Major Separation,,F210621-00041,200000256448/000/001
549,R-20210713-00058,S-210713-01067,,Lumisizer - VM,Lumisizer Separation,N,F210621-00041,200000256448/000/001
550,R-20210713-00059,S-210713-01113,,Lumisizer - VM,Lumisizer Separation Severity,,F210614-00034,200000256355/000/001
551,R-20210713-00059,S-210713-01113,,Lumisizer - VM,Lumisizer Separation,N,F210614-00034,200000256355/000/001
552,R-20210713-00059,S-210713-01113,,Lumisizer - VM,Lumisizer Separation Location,,F210614-00034,200000256355/000/001
553,R-20210713-00059,S-210713-01113,,Lumisizer - VM,Lumisizer Separated Layers,,F210614-00034,200000256355/000/001
554,R-20210713-00059,S-210713-01113,,Lumisizer - VM,Lumisizer Onset of Major Separation,,F210614-00034,200000256355/000/001
555,R-20210713-00067,S-210713-01188,,Lumisizer - VM,Lumisizer Separation,N,EXP-21-BH7526,
556,R-20210713-00067,S-210713-01188,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EXP-21-BH7526,
557,R-20210713-00067,S-210713-01188,,Lumisizer - VM,Lumisizer Separated Layers,1,EXP-21-BH7526,
558,R-20210713-00067,S-210713-01188,,Lumisizer - VM,Lumisizer Separation Severity,,EXP-21-BH7526,
559,R-20210713-00067,S-210713-01188,,Lumisizer - VM,Lumisizer Separation Location,,EXP-21-BH7526,
560,R-20210719-00060,S-210719-00977,,Lumisizer - VM,Lumisizer Separation,N,EXP-21-AX1860,TBD
561,R-20210719-00060,S-210719-00977,,Lumisizer - VM,Lumisizer Separation Location,,EXP-21-AX1860,TBD
562,R-20210719-00060,S-210719-00977,,Lumisizer - VM,Lumisizer Separated Layers,1,EXP-21-AX1860,TBD
563,R-20210719-00060,S-210719-00977,,Lumisizer - VM,Lumisizer Separation Severity,,EXP-21-AX1860,TBD
564,R-20210719-00060,S-210719-00977,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EXP-21-AX1860,TBD
565,R-20210720-00017,S-210720-00384,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BH7532,
566,R-20210720-00017,S-210720-00384,,Lumisizer - VM,Lumisizer Onset of Major Separation,35,EXP-21-BH7532,
567,R-20210720-00017,S-210720-00384,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-BH7532,
568,R-20210720-00017,S-210720-00384,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-BH7532,
569,R-20210720-00017,S-210720-00384,,Lumisizer - VM,Lumisizer Separation Severity,2.10,EXP-21-BH7532,
570,R-20210720-00018,S-210720-00419,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BH7531,
571,R-20210720-00018,S-210720-00419,,Lumisizer - VM,Lumisizer Separation Severity,2.60,EXP-21-BH7531,
572,R-20210720-00018,S-210720-00419,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-BH7531,
573,R-20210720-00018,S-210720-00419,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-BH7531,
574,R-20210720-00018,S-210720-00419,,Lumisizer - VM,Lumisizer Onset of Major Separation,30,EXP-21-BH7531,
575,R-20210720-00022,S-210720-00483,,Lumisizer - VM,Lumisizer Separated Layers,2,EXP-21-BI0169,
576,R-20210720-00022,S-210720-00483,,Lumisizer - VM,Lumisizer Separation Severity,14.10,EXP-21-BI0169,
577,R-20210720-00022,S-210720-00483,,Lumisizer - VM,Lumisizer Onset of Major Separation,20,EXP-21-BI0169,
578,R-20210720-00022,S-210720-00483,,Lumisizer - VM,Lumisizer Separation,Y,EXP-21-BI0169,
579,R-20210720-00022,S-210720-00483,,Lumisizer - VM,Lumisizer Separation Location,Top,EXP-21-BI0169,
580,R-20210721-00029,S-210721-00346,,Lumisizer - VM,Lumisizer Onset of Major Separation,,F-21712-00059,200000256489/000/000
581,R-20210721-00029,S-210721-00346,,Lumisizer - VM,Lumisizer Separation,N,F-21712-00059,200000256489/000/000
582,R-20210721-00029,S-210721-00346,,Lumisizer - VM,Lumisizer Separation Severity,,F-21712-00059,200000256489/000/000
583,R-20210721-00029,S-210721-00346,,Lumisizer - VM,Lumisizer Separated Layers,1,F-21712-00059,200000256489/000/000
584,R-20210721-00029,S-210721-00346,,Lumisizer - VM,Lumisizer Separation Location,,F-21712-00059,200000256489/000/000
585,R-20210721-00036,S-210721-00469,,Lumisizer - VM,Lumisizer Separation Severity,,EXP-21-BG8861,
586,R-20210721-00036,S-210721-00469,,Lumisizer - VM,Lumisizer Onset of Major Separation,,EXP-21-BG8861,
587,R-20210721-00036,S-210721-00469,,Lumisizer - VM,Lumisizer Separation Location,,EXP-21-BG8861,
588,R-20210721-00036,S-210721-00469,,Lumisizer - VM,Lumisizer Separation,N,EXP-21-BG8861,
589,R-20210721-00036,S-210721-00469,,Lumisizer - VM,Lumisizer Separated Layers,,EXP-21-BG8861,
590,R-20210802-00039,S-210802-00518,,Lumisizer - VM,Lumisizer Separated Layers,2,AL17010-55,
591,R-20210802-00039,S-210802-00518,,Lumisizer - VM,Lumisizer Onset of Major Separation,160,AL17010-55,
592,R-20210802-00039,S-210802-00518,,Lumisizer - VM,Lumisizer Separation,Y,AL17010-55,
593,R-20210802-00039,S-210802-00518,,Lumisizer - VM,Lumisizer Separation Severity,11.20,AL17010-55,
594,R-20210802-00039,S-210802-00518,,Lumisizer - VM,Lumisizer Separation Location,Bottom,AL17010-55,
595,R-20210806-00065,S-210806-01022,,Lumisizer - VM,Lumisizer Separation Severity,1% - 10%,F-210802-00046,
596,R-20210806-00065,S-210806-01022,,Lumisizer - VM,Lumisizer Separation Location,Top/Middle/Bottom,F-210802-00046,
597,R-20210806-00065,S-210806-01022,,Lumisizer - VM,Lumisizer Onset of Major Separation,35,F-210802-00046,
598,R-20210806-00065,S-210806-01022,,Lumisizer - VM,Lumisizer Separation,Y,F-210802-00046,
599,R-20210806-00065,S-210806-01022,,Lumisizer - VM,Lumisizer Separated Layers,3,F-210802-00046,
600,R-20211029-00052,S-211029-01157,,Lumisizer - VM,Lumisizer Separation,Y,RC17187-017,
601,R-20211029-00052,S-211029-01157,,Lumisizer - VM,Lumisizer Onset of Major Separation,0,RC17187-017,
602,R-20211029-00052,S-211029-01157,,Lumisizer - VM,Lumisizer Separation Severity,12.80,RC17187-017,
603,R-20211029-00052,S-211029-01157,,Lumisizer - VM,Lumisizer Separation Location,Top,RC17187-017,
604,R-20211029-00052,S-211029-01157,,Lumisizer - VM,Lumisizer Separated Layers,2,RC17187-017,
605,R-20211029-00055,S-211029-01249,,Lumisizer - VM,Lumisizer Separation Location,Top,RC17187-020,
606,R-20211029-00055,S-211029-01249,,Lumisizer - VM,Lumisizer Onset of Major Separation,2,RC17187-020,
607,R-20211029-00055,S-211029-01249,,Lumisizer - VM,Lumisizer Separation,Y,RC17187-020,
608,R-20211029-00055,S-211029-01249,,Lumisizer - VM,Lumisizer Separated Layers,2,RC17187-020,
609,R-20211029-00055,S-211029-01249,,Lumisizer - VM,Lumisizer Separation Severity,14.90,RC17187-020,
610,R-20211207-00058,S-211207-02369,,Lumisizer - VM,Top Separation,N,RC17187-025,
611,R-20211207-00058,S-211207-02369,,Lumisizer - VM,Top Onset (min),,RC17187-025,
612,R-20211207-00058,S-211207-02369,,Lumisizer - VM,Bottom Onset (min),20 mins,RC17187-025,
613,R-20211207-00058,S-211207-02369,,Lumisizer - VM,Top Severity (%),,RC17187-025,
614,R-20211207-00058,S-211207-02369,,Lumisizer - VM,Bottom Severity (%),significant,RC17187-025,
615,R-20211207-00058,S-211207-02369,,Lumisizer - VM,Structure Type,Polymer Network,RC17187-025,
616,R-20211207-00058,S-211207-02369,,Lumisizer - VM,Bottom Separation,Y,RC17187-025,
617,R-20211210-00044,S-211210-00209,,Lumisizer - VM,Top Onset (min),,RC17187-026,
618,R-20211210-00044,S-211210-00209,,Lumisizer - VM,Structure Type,Liquid Crystalline Network,RC17187-026,
619,R-20211210-00044,S-211210-00209,,Lumisizer - VM,Top Separation,N,RC17187-026,
620,R-20211210-00044,S-211210-00209,,Lumisizer - VM,Bottom Onset (min),225.5 mins,RC17187-026,
621,R-20211210-00044,S-211210-00209,,Lumisizer - VM,Top Severity (%),,RC17187-026,
622,R-20211210-00044,S-211210-00209,,Lumisizer - VM,Bottom Severity (%),~8%,RC17187-026,
623,R-20211210-00044,S-211210-00209,,Lumisizer - VM,Bottom Separation,Y,RC17187-026,
624,R-20220104-00037,S-220104-00201,,Lumisizer - VM,Bottom Onset (min),156.5 mins,RC17187-029,
625,R-20220104-00037,S-220104-00201,,Lumisizer - VM,Structure Type,Liquid Crystalline Network,RC17187-029,
626,R-20220104-00037,S-220104-00201,,Lumisizer - VM,Bottom Separation,Y,RC17187-029,
627,R-20220104-00037,S-220104-00201,,Lumisizer - VM,Top Onset (min),,RC17187-029,
628,R-20220104-00037,S-220104-00201,,Lumisizer - VM,Top Severity (%),,RC17187-029,
629,R-20220104-00037,S-220104-00201,,Lumisizer - VM,Bottom Severity (%),~1%,RC17187-029,
630,R-20220104-00037,S-220104-00201,,Lumisizer - VM,Top Separation,N,RC17187-029,
631,R-20220818-00019,S-220818-00530,,Lumisizer - VM,Structure Type,Other,F-220809-00136,200000263116/001/000
632,R-20220818-00019,S-220818-00530,,Lumisizer - VM,Bottom Severity (%),0,F-220809-00136,200000263116/001/000
633,R-20220818-00019,S-220818-00530,,Lumisizer - VM,Bottom Onset (min),0,F-220809-00136,200000263116/001/000
634,R-20220818-00019,S-220818-00530,,Lumisizer - VM,Top Onset (min),0,F-220809-00136,200000263116/001/000
635,R-20220818-00019,S-220818-00530,,Lumisizer - VM,Top Separation,N,F-220809-00136,200000263116/001/000
636,R-20220818-00019,S-220818-00530,,Lumisizer - VM,Bottom Separation,N,F-220809-00136,200000263116/001/000
637,R-20220818-00019,S-220818-00530,,Lumisizer - VM,Top Severity (%),0,F-220809-00136,200000263116/001/000
638,R-20220822-00044,S-220822-01054,,Lumisizer - VM,Bottom Onset (min),250.5,08062JU40,200000242962/006/000
639,R-20220822-00044,S-220822-01054,,Lumisizer - VM,Top Separation,N,08062JU40,200000242962/006/000
640,R-20220822-00044,S-220822-01054,,Lumisizer - VM,Bottom Separation,Y,08062JU40,200000242962/006/000
641,R-20220822-00044,S-220822-01054,,Lumisizer - VM,Top Onset (min),0,08062JU40,200000242962/006/000
642,R-20220822-00044,S-220822-01054,,Lumisizer - VM,Bottom Severity (%),2.7,08062JU40,200000242962/006/000
643,R-20220822-00044,S-220822-01054,,Lumisizer - VM,Top Severity (%),0,08062JU40,200000242962/006/000
644,R-20220823-00036,S-220823-00567,,Lumisizer - VM,Bottom Onset (min),0,F-220817-00092,
645,R-20220823-00036,S-220823-00567,,Lumisizer - VM,Top Separation,N,F-220817-00092,
646,R-20220823-00036,S-220823-00567,,Lumisizer - VM,Bottom Severity (%),0,F-220817-00092,
647,R-20220823-00036,S-220823-00567,,Lumisizer - VM,Structure Type,Other,F-220817-00092,
648,R-20220823-00036,S-220823-00567,,Lumisizer - VM,Top Onset (min),0,F-220817-00092,
649,R-20220823-00036,S-220823-00567,,Lumisizer - VM,Bottom Separation,N,F-220817-00092,
650,R-20220823-00036,S-220823-00567,,Lumisizer - VM,Top Severity (%),0,F-220817-00092,
651,R-20220826-00049,S-220826-00716,,Lumisizer - VM,Structure Type,Other,F-220825-00131,
652,R-20220826-00049,S-220826-00716,,Lumisizer - VM,Top Onset (min),0,F-220825-00131,
653,R-20220826-00049,S-220826-00716,,Lumisizer - VM,Bottom Severity (%),0,F-220825-00131,
654,R-20220826-00049,S-220826-00716,,Lumisizer - VM,Top Separation,N,F-220825-00131,
655,R-20220826-00049,S-220826-00716,,Lumisizer - VM,Bottom Onset (min),0,F-220825-00131,
656,R-20220826-00049,S-220826-00716,,Lumisizer - VM,Bottom Separation,N,F-220825-00131,
657,R-20220826-00049,S-220826-00716,,Lumisizer - VM,Top Severity (%),0,F-220825-00131,
658,R-20220826-00051,S-220826-00754,,Lumisizer - VM,Bottom Severity (%),0,F-220825-00140,
659,R-20220826-00051,S-220826-00754,,Lumisizer - VM,Bottom Separation,N,F-220825-00140,
660,R-20220826-00051,S-220826-00754,,Lumisizer - VM,Structure Type,Other,F-220825-00140,
661,R-20220826-00051,S-220826-00754,,Lumisizer - VM,Top Separation,N,F-220825-00140,
662,R-20220826-00051,S-220826-00754,,Lumisizer - VM,Top Onset (min),0,F-220825-00140,
663,R-20220826-00051,S-220826-00754,,Lumisizer - VM,Bottom Onset (min),0,F-220825-00140,
664,R-20220826-00051,S-220826-00754,,Lumisizer - VM,Top Severity (%),0,F-220825-00140,
665,R-20220830-00035,S-220830-01312,,Lumisizer - VM,Top Severity (%),0,F-220902-00077,
666,R-20220830-00035,S-220830-01312,,Lumisizer - VM,Bottom Severity (%),0,F-220902-00077,
667,R-20220830-00035,S-220830-01312,,Lumisizer - VM,Bottom Onset (min),0,F-220902-00077,
668,R-20220830-00035,S-220830-01312,,Lumisizer - VM,Bottom Separation,N,F-220902-00077,
669,R-20220830-00035,S-220830-01312,,Lumisizer - VM,Structure Type,Other,F-220902-00077,
670,R-20220830-00035,S-220830-01312,,Lumisizer - VM,Top Onset (min),0,F-220902-00077,
671,R-20220830-00035,S-220830-01312,,Lumisizer - VM,Top Separation,N,F-220902-00077,
672,R-20220830-00036,S-220830-01358,,Lumisizer - VM,Structure Type,Other,F-220830-00111,
673,R-20220830-00036,S-220830-01358,,Lumisizer - VM,Top Separation,N,F-220830-00111,
674,R-20220830-00036,S-220830-01358,,Lumisizer - VM,Bottom Severity (%),0,F-220830-00111,
675,R-20220830-00036,S-220830-01358,,Lumisizer - VM,Bottom Separation,N,F-220830-00111,
676,R-20220830-00036,S-220830-01358,,Lumisizer - VM,Top Severity (%),0,F-220830-00111,
677,R-20220830-00036,S-220830-01358,,Lumisizer - VM,Top Onset (min),0,F-220830-00111,
678,R-20220830-00036,S-220830-01358,,Lumisizer - VM,Bottom Onset (min),0,F-220830-00111,
679,R-20220831-00038,S-220831-00780,,Lumisizer - VM,Structure Type,Other,F-220830-00143,2E+11
680,R-20220831-00038,S-220831-00780,,Lumisizer - VM,Top Onset (min),0,F-220830-00143,2E+11
681,R-20220831-00038,S-220831-00780,,Lumisizer - VM,Bottom Onset (min),0,F-220830-00143,2E+11
682,R-20220831-00038,S-220831-00780,,Lumisizer - VM,Top Severity (%),0,F-220830-00143,2E+11
683,R-20220831-00038,S-220831-00780,,Lumisizer - VM,Bottom Severity (%),0,F-220830-00143,2E+11
684,R-20220831-00038,S-220831-00780,,Lumisizer - VM,Bottom Separation,N,F-220830-00143,2E+11
685,R-20220831-00038,S-220831-00780,,Lumisizer - VM,Top Separation,N,F-220830-00143,2E+11
686,R-20220908-00063,S-220908-00943,,Lumisizer - VM,Structure Type,Other,FARM16082022,2E+11
687,R-20220908-00063,S-220908-00943,,Lumisizer - VM,Bottom Separation,N,FARM16082022,2E+11
688,R-20220908-00063,S-220908-00943,,Lumisizer - VM,Bottom Severity (%),0,FARM16082022,2E+11
689,R-20220908-00063,S-220908-00943,,Lumisizer - VM,Bottom Onset (min),0,FARM16082022,2E+11
690,R-20220908-00063,S-220908-00943,,Lumisizer - VM,Top Separation,N,FARM16082022,2E+11
691,R-20220908-00063,S-220908-00943,,Lumisizer - VM,Top Onset (min),0,FARM16082022,2E+11
692,R-20220908-00063,S-220908-00943,,Lumisizer - VM,Top Severity (%),0,FARM16082022,2E+11
693,R-20220908-00064,S-220908-00989,,Lumisizer - VM,Bottom Separation,N,FARM26082022,2E+11
694,R-20220908-00064,S-220908-00989,,Lumisizer - VM,Top Onset (min),0,FARM26082022,2E+11
695,R-20220908-00064,S-220908-00989,,Lumisizer - VM,Bottom Onset (min),0,FARM26082022,2E+11
696,R-20220908-00064,S-220908-00989,,Lumisizer - VM,Top Separation,N,FARM26082022,2E+11
697,R-20220908-00064,S-220908-00989,,Lumisizer - VM,Bottom Severity (%),0,FARM26082022,2E+11
698,R-20220908-00064,S-220908-00989,,Lumisizer - VM,Top Severity (%),0,FARM26082022,2E+11
699,R-20220908-00064,S-220908-00989,,Lumisizer - VM,Structure Type,Other,FARM26082022,2E+11
700,R-20220908-00065,S-220908-01035,,Lumisizer - VM,Top Onset (min),0,FARM26082022,2E+11
701,R-20220908-00065,S-220908-01035,,Lumisizer - VM,Bottom Severity (%),0,FARM26082022,2E+11
702,R-20220908-00065,S-220908-01035,,Lumisizer - VM,Structure Type,Other,FARM26082022,2E+11
703,R-20220908-00065,S-220908-01035,,Lumisizer - VM,Top Severity (%),0,FARM26082022,2E+11
704,R-20220908-00065,S-220908-01035,,Lumisizer - VM,Bottom Separation,N,FARM26082022,2E+11
705,R-20220908-00065,S-220908-01035,,Lumisizer - VM,Top Separation,N,FARM26082022,2E+11
706,R-20220908-00065,S-220908-01035,,Lumisizer - VM,Bottom Onset (min),0,FARM26082022,2E+11
707,R-20220909-00068,S-220909-00507,,Lumisizer - VM,Structure Type,Other,F-220909-00091,
708,R-20220909-00068,S-220909-00507,,Lumisizer - VM,Top Separation,N,F-220909-00091,
709,R-20220909-00068,S-220909-00507,,Lumisizer - VM,Bottom Onset (min),0,F-220909-00091,
710,R-20220909-00068,S-220909-00507,,Lumisizer - VM,Top Onset (min),0,F-220909-00091,
711,R-20220909-00068,S-220909-00507,,Lumisizer - VM,Bottom Separation,N,F-220909-00091,
712,R-20220909-00068,S-220909-00507,,Lumisizer - VM,Bottom Severity (%),0,F-220909-00091,
713,R-20220909-00068,S-220909-00507,,Lumisizer - VM,Top Severity (%),0,F-220909-00091,
714,R-20220914-00056,S-220914-00683,,Lumisizer - VM,Top Onset (min),0,F-220914-00108,
715,R-20220914-00056,S-220914-00683,,Lumisizer - VM,Top Severity (%),0,F-220914-00108,
716,R-20220914-00056,S-220914-00683,,Lumisizer - VM,Bottom Severity (%),0,F-220914-00108,
717,R-20220914-00056,S-220914-00683,,Lumisizer - VM,Top Separation,N,F-220914-00108,
718,R-20220914-00056,S-220914-00683,,Lumisizer - VM,Bottom Separation,N,F-220914-00108,
719,R-20220914-00056,S-220914-00683,,Lumisizer - VM,Structure Type,Other,F-220914-00108,
720,R-20220914-00056,S-220914-00683,,Lumisizer - VM,Bottom Onset (min),0,F-220914-00108,
721,R-20220915-00037,S-220915-00622,,Lumisizer - VM,Top Severity (%),0,F-220915-00078,
722,R-20220915-00037,S-220915-00622,,Lumisizer - VM,Bottom Onset (min),0,F-220915-00078,
723,R-20220915-00037,S-220915-00622,,Lumisizer - VM,Structure Type,Other,F-220915-00078,
724,R-20220915-00037,S-220915-00622,,Lumisizer - VM,Bottom Severity (%),0,F-220915-00078,
725,R-20220915-00037,S-220915-00622,,Lumisizer - VM,Bottom Separation,N,F-220915-00078,
726,R-20220915-00037,S-220915-00622,,Lumisizer - VM,Top Onset (min),0,F-220915-00078,
727,R-20220915-00037,S-220915-00622,,Lumisizer - VM,Top Separation,N,F-220915-00078,
728,R-20220920-00045,S-220920-00683,,Lumisizer - VM,Bottom Severity (%),7.2,F-220919-00089,2E+11
729,R-20220920-00045,S-220920-00683,,Lumisizer - VM,Top Separation,N,F-220919-00089,2E+11
730,R-20220920-00045,S-220920-00683,,Lumisizer - VM,Top Onset (min),0,F-220919-00089,2E+11
731,R-20220920-00045,S-220920-00683,,Lumisizer - VM,Structure Type,Other,F-220919-00089,2E+11
732,R-20220920-00045,S-220920-00683,,Lumisizer - VM,Bottom Onset (min),250.6,F-220919-00089,2E+11
733,R-20220920-00045,S-220920-00683,,Lumisizer - VM,Top Severity (%),0,F-220919-00089,2E+11
734,R-20220920-00045,S-220920-00683,,Lumisizer - VM,Bottom Separation,Y,F-220919-00089,2E+11
735,R-20220921-00031,S-220921-00599,,Lumisizer - VM,Structure Type,Other,F-220920-00089,
736,R-20220921-00031,S-220921-00599,,Lumisizer - VM,Top Separation,N,F-220920-00089,
737,R-20220921-00031,S-220921-00599,,Lumisizer - VM,Bottom Severity (%),0,F-220920-00089,
738,R-20220921-00031,S-220921-00599,,Lumisizer - VM,Bottom Onset (min),0,F-220920-00089,
739,R-20220921-00031,S-220921-00599,,Lumisizer - VM,Top Onset (min),0,F-220920-00089,
740,R-20220921-00031,S-220921-00599,,Lumisizer - VM,Top Severity (%),0,F-220920-00089,
741,R-20220921-00031,S-220921-00599,,Lumisizer - VM,Bottom Separation,N,F-220920-00089,
742,R-20220921-00052,S-220921-01170,,Lumisizer - VM,Structure Type,Other,Lot code 09122AM08,200000256489/001/000
743,R-20220921-00052,S-220921-01170,,Lumisizer - VM,Bottom Separation,N,Lot code 09122AM08,200000256489/001/000
744,R-20220921-00052,S-220921-01170,,Lumisizer - VM,Bottom Severity (%),0,Lot code 09122AM08,200000256489/001/000
745,R-20220921-00052,S-220921-01170,,Lumisizer - VM,Top Severity (%),0,Lot code 09122AM08,200000256489/001/000
746,R-20220921-00052,S-220921-01170,,Lumisizer - VM,Bottom Onset (min),0,Lot code 09122AM08,200000256489/001/000
747,R-20220921-00052,S-220921-01170,,Lumisizer - VM,Top Onset (min),0,Lot code 09122AM08,200000256489/001/000
748,R-20220921-00052,S-220921-01170,,Lumisizer - VM,Top Separation,N,Lot code 09122AM08,200000256489/001/000
749,R-20220921-00058,S-220921-01258,,Lumisizer - VM,Bottom Onset (min),0,F-220921-00115,
