Request,Sample,Batch,Parameter List,Parameter,Data
R-20210416-00031,S-210416-01061,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210416-00031,S-210416-01061,,Lumisizer - VM,Lumisizer Separation Severity,89.30
R-20210416-00031,S-210416-01061,,Lumisizer - VM,Lumisizer Separation,Y
R-20210416-00033,S-210416-01119,,Lumisizer - VM,Lumisizer Separation,Y
R-20210416-00033,S-210416-01119,,Lumisizer - VM,Lumisizer Onset of Major Separation,60
R-20210416-00033,S-210416-01119,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210416-00033,S-210416-01119,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210416-00033,S-210416-01119,,Lumisizer - VM,Lumisizer Separation Severity,1.90
R-20210416-00034,S-210416-01143,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210416-00034,S-210416-01143,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210416-00034,S-210416-01143,,Lumisizer - VM,Lumisizer Separation,Y
R-20210416-00034,S-210416-01143,,Lumisizer - VM,Lumisizer Separation Severity,11.40
R-20210416-00034,S-210416-01143,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210423-00049,S-210423-00706,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210423-00049,S-210423-00706,,Lumisizer - VM,Lumisizer Separation,Y
R-20210423-00049,S-210423-00706,,Lumisizer - VM,Lumisizer Separation Severity,4.4%
R-20210423-00049,S-210423-00706,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210423-00049,S-210423-00706,,Lumisizer - VM,Lumisizer Onset of Major Separation,40
R-20210423-00050,S-210423-00711,,Lumisizer - VM,Lumisizer Separation,Y
R-20210423-00050,S-210423-00711,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210423-00050,S-210423-00711,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210423-00050,S-210423-00711,,Lumisizer - VM,Lumisizer Separation Severity,3.80
R-20210423-00050,S-210423-00711,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210423-00051,S-210423-00716,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210423-00051,S-210423-00716,,Lumisizer - VM,Lumisizer Separation Severity,3.70
R-20210423-00051,S-210423-00716,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210423-00051,S-210423-00716,,Lumisizer - VM,Lumisizer Separation,Y
R-20210423-00051,S-210423-00716,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210423-00052,S-210423-00721,,Lumisizer - VM,Lumisizer Onset of Major Separation,33
R-20210423-00052,S-210423-00721,,Lumisizer - VM,Lumisizer Separation,Y
R-20210423-00052,S-210423-00721,,Lumisizer - VM,Lumisizer Separation Severity,4.70
R-20210423-00052,S-210423-00721,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210423-00052,S-210423-00721,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210423-00053,S-210423-00726,,Lumisizer - VM,Lumisizer Separation,Y
R-20210423-00053,S-210423-00726,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210423-00053,S-210423-00726,,Lumisizer - VM,Lumisizer Separation Severity,4.20
R-20210423-00053,S-210423-00726,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210423-00053,S-210423-00726,,Lumisizer - VM,Lumisizer Onset of Major Separation,23
R-20210423-00054,S-210423-00731,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210423-00054,S-210423-00731,,Lumisizer - VM,Lumisizer Onset of Major Separation,30
R-20210423-00054,S-210423-00731,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210423-00054,S-210423-00731,,Lumisizer - VM,Lumisizer Separation Severity,4.00
R-20210423-00054,S-210423-00731,,Lumisizer - VM,Lumisizer Separation,Y
R-20210426-00033,S-210426-00462,,Lumisizer - VM,Lumisizer Onset of Major Separation,80
R-20210426-00033,S-210426-00462,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210426-00033,S-210426-00462,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210426-00033,S-210426-00462,,Lumisizer - VM,Lumisizer Separation,Y
R-20210426-00033,S-210426-00462,,Lumisizer - VM,Lumisizer Separation Severity,9.60
R-20210426-00036,S-210426-00511,,Lumisizer - VM,Lumisizer Separation,N
R-20210426-00036,S-210426-00511,,Lumisizer - VM,Lumisizer Onset of Major Separation,N/A
R-20210426-00036,S-210426-00511,,Lumisizer - VM,Lumisizer Separation Severity,N/A
R-20210426-00036,S-210426-00511,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210426-00036,S-210426-00511,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210427-00043,S-210427-01049,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210427-00043,S-210427-01049,,Lumisizer - VM,Lumisizer Separation Severity,1.90
R-20210427-00043,S-210427-01049,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210427-00043,S-210427-01049,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210427-00043,S-210427-01049,,Lumisizer - VM,Lumisizer Separation,Y
R-20210428-00039,S-210503-00457,,Lumisizer - VM,Lumisizer Separated Layers,1
R-20210428-00039,S-210503-00457,,Lumisizer - VM,Lumisizer Separation Location,N/A
R-20210428-00039,S-210503-00457,,Lumisizer - VM,Lumisizer Separation Severity,NA
R-20210428-00039,S-210503-00457,,Lumisizer - VM,Lumisizer Onset of Major Separation,NA
R-20210428-00039,S-210503-00457,,Lumisizer - VM,Lumisizer Separation,N
R-20210428-00054,S-210428-01762,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210428-00054,S-210428-01762,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210428-00054,S-210428-01762,,Lumisizer - VM,Lumisizer Onset of Major Separation,125
